,CaseNo,CaseTitle,Pertains,Justice,Vote,Appellant,Appellee
47,21-1195,Bittner v. United States,Act ,"John G. Roberts, Jr.",Majority,Bittner,United States
48,21-1195,Bittner v. United States,Act ,"Samuel A. Alito, Jr.",Majority,Bittner,United States
49,21-1195,Bittner v. United States,Act ,Brett M. Kavanaugh,Majority,Bittner,United States
50,21-1195,Bittner v. United States,Act ,Amy Coney Barrett,Minority,Bittner,United States
51,21-1195,Bittner v. United States,Act ,Clarence Thomas,Minority,Bittner,United States
52,21-1195,Bittner v. United States,Act ,Sonia Sotomayor,Minority,Bittner,United States
53,21-1195,Bittner v. United States,Act ,Elena Kagan,Minority,Bittner,United States
54,21-1170,Ciminelli v. United States,Act ,Clarence Thomas,Majority,Ciminelli,United States
55,21-1170,Ciminelli v. United States,Act ,"John G. Roberts, Jr.",Majority,Ciminelli,United States
56,21-1170,Ciminelli v. United States,Act ,"Samuel A. Alito, Jr.",Majority,Ciminelli,United States
57,21-1170,Ciminelli v. United States,Act ,Sonia Sotomayor,Majority,Ciminelli,United States
58,21-1170,Ciminelli v. United States,Act ,Elena Kagan,Majority,Ciminelli,United States
59,21-1170,Ciminelli v. United States,Act ,Neil Gorsuch,Majority,Ciminelli,United States
60,21-1170,Ciminelli v. United States,Act ,Brett M. Kavanaugh,Majority,Ciminelli,United States
61,21-1170,Ciminelli v. United States,Act ,Ketanji Brown Jackson,Majority,Ciminelli,United States
62,21-1170,Ciminelli v. United States,Act ,Amy Coney Barrett,Majority,Ciminelli,United States
63,21-846,Cruz v. Arizona,Amendment ,Sonia Sotomayor,Majority,Cruz,Arizona
64,21-846,Cruz v. Arizona,Amendment ,"John G. Roberts, Jr.",Majority,Cruz,Arizona
65,21-846,Cruz v. Arizona,Amendment ,Elena Kagan,Majority,Cruz,Arizona
66,21-846,Cruz v. Arizona,Amendment ,Ketanji Brown Jackson,Majority,Cruz,Arizona
67,21-846,Cruz v. Arizona,Amendment ,Brett M. Kavanaugh,Majority,Cruz,Arizona
68,21-846,Cruz v. Arizona,Amendment ,Amy Coney Barrett,Minority,Cruz,Arizona
69,21-846,Cruz v. Arizona,Amendment ,"Samuel A. Alito, Jr.",Minority,Cruz,Arizona
70,21-846,Cruz v. Arizona,Amendment ,Clarence Thomas,Minority,Cruz,Arizona
71,21-846,Cruz v. Arizona,Amendment ,Neil Gorsuch,Minority,Cruz,Arizona
72,22O145,Delaware v. Pennsylvania and Wisconsin,Amendment ,Ketanji Brown Jackson,Majority,Delaware,Pennsylvania and Wisconsin
73,22O145,Delaware v. Pennsylvania and Wisconsin,Amendment ,"John G. Roberts, Jr.",Majority,Delaware,Pennsylvania and Wisconsin
74,22O145,Delaware v. Pennsylvania and Wisconsin,Amendment ,Clarence Thomas,Majority,Delaware,Pennsylvania and Wisconsin
75,22O145,Delaware v. Pennsylvania and Wisconsin,Amendment ,"Samuel A. Alito, Jr.",Majority,Delaware,Pennsylvania and Wisconsin
76,22O145,Delaware v. Pennsylvania and Wisconsin,Amendment ,Sonia Sotomayor,Majority,Delaware,Pennsylvania and Wisconsin
77,22O145,Delaware v. Pennsylvania and Wisconsin,Amendment ,Elena Kagan,Majority,Delaware,Pennsylvania and Wisconsin
78,22O145,Delaware v. Pennsylvania and Wisconsin,Amendment ,Neil Gorsuch,Majority,Delaware,Pennsylvania and Wisconsin
79,22O145,Delaware v. Pennsylvania and Wisconsin,Amendment ,Brett M. Kavanaugh,Majority,Delaware,Pennsylvania and Wisconsin
80,22O145,Delaware v. Pennsylvania and Wisconsin,Amendment ,Amy Coney Barrett,Majority,Delaware,Pennsylvania and Wisconsin
81,22-10,Dubin v. United States,Amendment ,Sonia Sotomayor,Majority,Dubin,United States
82,22-10,Dubin v. United States,Amendment ,"John G. Roberts, Jr.",Majority,Dubin,United States
83,22-10,Dubin v. United States,Amendment ,Clarence Thomas,Majority,Dubin,United States
84,22-10,Dubin v. United States,Amendment ,"Samuel A. Alito, Jr.",Majority,Dubin,United States
85,22-10,Dubin v. United States,Amendment ,Elena Kagan,Majority,Dubin,United States
86,22-10,Dubin v. United States,Amendment ,Neil Gorsuch,Majority,Dubin,United States
87,22-10,Dubin v. United States,Amendment ,Brett M. Kavanaugh,Majority,Dubin,United States
88,22-10,Dubin v. United States,Amendment ,Amy Coney Barrett,Majority,Dubin,United States
89,22-10,Dubin v. United States,Amendment ,Ketanji Brown Jackson,Majority,Dubin,United States
90,22-210,Dupree v. Younger,Amendment ,Amy Coney Barrett,Majority,Dupree,Younger
91,22-210,Dupree v. Younger,Amendment ,"John G. Roberts, Jr.",Majority,Dupree,Younger
92,22-210,Dupree v. Younger,Amendment ,Clarence Thomas,Majority,Dupree,Younger
93,22-210,Dupree v. Younger,Amendment ,"Samuel A. Alito, Jr.",Majority,Dupree,Younger
